iter	MultiClass
0	1.072533121
1	1.053618419
2	1.028913938
3	1.016835808
4	0.9852598414
5	0.9764628923
6	0.9516722293
7	0.9442683012
8	0.9261759311
9	0.9191572925
10	0.9008133654
11	0.8931043692
12	0.8833295182
13	0.8693449928
14	0.8577151429
15	0.8416877788
16	0.8272157591
17	0.8182731801
18	0.8084134537
19	0.8011602156
20	0.7955478735
21	0.7888082458
22	0.7772441186
23	0.7706434673
24	0.7640305569
25	0.760396945
26	0.7469011852
27	0.7364497451
28	0.7296921215
29	0.7205273706
30	0.7141078357
31	0.7048862178
32	0.6995356977
33	0.6944278549
34	0.6893686715
35	0.6809369819
36	0.6738505924
37	0.6625615516
38	0.6495615081
39	0.6429991943
40	0.6373076218
41	0.6308554978
42	0.6176477203
43	0.6146063357
44	0.6074047869
45	0.6028169649
46	0.59579516
47	0.5909037038
48	0.5847818464
49	0.5816009781
50	0.5738768542
51	0.5690195841
52	0.5633574586
53	0.5594753633
54	0.5522882688
55	0.5438446461
56	0.5351271437
57	0.5317028722
58	0.5245116135
59	0.5199525824
60	0.5131059529
61	0.5055315004
62	0.4994143041
63	0.4938638633
64	0.490797384
65	0.4811939694
66	0.4766573619
67	0.470019688
68	0.4649858934
69	0.4581144668
70	0.4515018956
71	0.4428798336
72	0.4342455731
73	0.4296414582
74	0.4221897276
75	0.4177937321
76	0.4117449548
77	0.406935404
78	0.4036585493
79	0.4003581355
80	0.3958615868
81	0.3934769223
82	0.3872313335
83	0.3828983261
84	0.3780435869
85	0.3729221689
86	0.3697417131
87	0.3645238998
88	0.3611462222
89	0.3563623749
90	0.3521427228
91	0.3449290657
92	0.3398767051
93	0.3365033716
94	0.3316882713
95	0.3269514169
96	0.3218399795
97	0.3156747624
98	0.3133461066
99	0.3093392013
100	0.3057632334
101	0.301931516
102	0.2978923915
103	0.2926279755
104	0.28659582
105	0.2830535477
106	0.2787785454
107	0.2754552989
108	0.2730011719
109	0.2680769972
110	0.2650757314
111	0.2616642549
112	0.2582360622
113	0.2555431096
114	0.2531570387
115	0.2506639522
116	0.2474476665
117	0.2441746056
118	0.2429626626
119	0.2414249938
