iter	Passed	Remaining
0	1	205
1	3	233
2	5	206
3	6	197
4	8	189
5	10	193
6	11	193
7	13	188
8	14	184
9	17	191
10	19	192
11	21	189
12	22	188
13	24	188
14	26	187
15	28	184
16	30	183
17	31	180
18	33	176
19	34	173
20	36	170
21	38	170
22	39	167
23	41	164
24	42	161
25	44	160
26	45	158
27	47	155
28	48	152
29	51	154
30	53	152
31	54	149
32	55	147
33	58	147
34	59	145
35	61	142
36	62	140
37	64	139
38	66	137
39	67	135
40	69	133
41	71	132
42	72	130
43	74	128
44	75	126
45	77	124
46	79	123
47	80	121
48	82	119
49	84	118
50	85	116
51	87	114
52	88	112
53	90	110
54	92	109
55	93	106
56	94	104
57	96	102
58	98	101
59	99	99
60	101	97
61	102	95
62	104	94
63	105	92
64	106	90
65	108	88
66	109	86
67	111	85
68	113	83
69	114	81
70	115	79
71	118	78
72	119	76
73	120	75
74	121	73
75	123	71
76	125	70
77	127	68
78	128	66
79	131	65
80	132	63
81	134	62
82	135	60
83	136	58
84	138	57
85	140	55
86	141	53
87	143	52
88	145	50
89	147	49
90	148	47
91	149	45
92	151	43
93	153	42
94	154	40
95	156	39
96	157	37
97	159	35
98	160	34
99	161	32
100	162	30
101	164	29
102	166	27
103	167	25
104	168	24
105	169	22
106	171	20
107	173	19
108	174	17
109	176	16
110	177	14
111	179	12
112	181	11
113	182	9
114	183	7
115	185	6
116	187	4
117	189	3
118	190	1
119	192	0
